gene,day,gDNA,mRNA
SIDT1,day 21,2.14,2.54
SIDT2,day 5,-0.03,0.44
SIDT2,day 13,1.1,1.36
SIDT2,day 21,0.98,1.74
SKIC2,day 5,-0.24,0.22
SKIC2,day 13,0.48,0.68
SKIC2,day 21,0.43,1.08
SKIC8,day 5,0.46,0.17
SKIC8,day 13,0.58,0.03
SKIC8,day 21,-0.82,-1.45
SLA,day 5,-0.55,-0.01
SLA,day 13,1.04,1.05
SLA,day 21,1.08,1.83
SLBP,day 5,-0.09,-0.01
SLBP,day 13,-0.8,-0.9
SLBP,day 21,-1.38,-1.23
SLC16A3,day 5,0.19,0.37
SLC16A3,day 13,1.28,1.14
SLC16A3,day 21,1.38,1.62
SLC25A11,day 5,-0.09,0.23
SLC25A11,day 13,1.15,1.13
SLC25A11,day 21,1.75,1.79
SLC25A48,day 5,-0.35,-0.12
SLC25A48,day 13,0.57,0.32
SLC25A48,day 21,1.11,0.89
SLC25A5,day 5,0.01,-0.17
SLC25A5,day 13,0.59,-0.04
SLC25A5,day 21,-0.17,0.07
SLC3A2,day 5,-0.15,-0.19
SLC3A2,day 13,0.22,0.13
SLC3A2,day 21,1.01,0.59
SLC4A1AP,day 5,0.42,-0.48
SLC4A1AP,day 13,0.06,-0.3
SLC4A1AP,day 21,0.51,-0.44
SLIRP,day 5,0.38,0.24
SLIRP,day 13,-1.12,-0.39
SLIRP,day 21,-2.38,-1.49
SLTM,day 5,0.68,0.14
SLTM,day 13,1.3,0.97
SLTM,day 21,1.97,1.39
SLU7,day 5,-1.15,-0.88
SLU7,day 13,-1,-4.43
SLU7,day 21,-2.74,-3.58
SMAD1,day 5,-0.58,0.03
SMAD1,day 13,0.53,0.18
SMAD1,day 21,0.42,0.26
SMAD2,day 5,0.97,0.01
SMAD2,day 13,0.6,1.06
SMAD2,day 21,1.56,1.57
SMAD3,day 5,-0.32,-0.16
SMAD3,day 13,0.73,0.38
SMAD3,day 21,0.51,0.48
SMAD4,day 5,-0.24,0.44
SMAD4,day 13,1,1.77
SMAD4,day 21,1.21,2.6
SMAD5,day 5,0.75,0.08
SMAD5,day 13,1.1,0.59
SMAD5,day 21,1.51,0.85
SMAD6,day 5,0.27,-0.02
SMAD6,day 13,1.23,0.35
SMAD6,day 21,-0.1,0.58
SMAD7,day 5,0.17,0.22
SMAD7,day 13,0.62,0.64
SMAD7,day 21,0.76,1.15
SMAD9,day 5,-0.11,-0.34
SMAD9,day 13,1.4,0.64
SMAD9,day 21,1.35,1.22
SMC1A,day 5,-0.07,0.22
SMC1A,day 13,-2.1,-1.17
SMC1A,day 21,-1.84,-2.84
SMG1,day 5,0.4,0.04
SMG1,day 13,-1.59,-1.95
SMG1,day 21,-1.8,-2.8
SMG5,day 5,0.12,-0.26
SMG5,day 13,-1.76,-0.57
SMG5,day 21,-1.18,-0.3
SMG6,day 5,0.53,0.07
SMG6,day 13,-0.45,-0.06
SMG6,day 21,-0.52,-0.36
SMG7,day 5,0.04,0.05
SMG7,day 13,-0.46,-0.33
SMG7,day 21,-1.19,-1.54
SMG8,day 5,-0.11,-0.67
SMG8,day 13,-0.2,-0.31
SMG8,day 21,0.15,-0.89
SMG9,day 5,-0.61,-0.15
SMG9,day 13,0.01,0.2
SMG9,day 21,0.52,0.54
SMN1,day 5,0.31,-0.08
SMN1,day 13,-1.72,-3.29
SMN1,day 21,-0.42,-2.75
SMN2,day 5,-0.22,-0.13
SMN2,day 13,-1.02,-1.32
SMN2,day 21,-2.04,-1.45
SMNDC1,day 5,0.15,-0.59
SMNDC1,day 13,-0.87,-0.64
SMNDC1,day 21,-0.44,-0.39
SND1,day 5,0.64,-0.37
SND1,day 13,0.87,0.81
SND1,day 21,2.13,1.06
SNIP1,day 5,-0.57,-0.12
SNIP1,day 13,-2.81,-1.36
SNIP1,day 21,-2.33,-1.1
SNRNP200,day 5,-1.31,-0.93
SNRNP200,day 13,-2.23,-3.86
SNRNP200,day 21,-1.51,-3.19
SNRNP25,day 5,-0.11,0.12
SNRNP25,day 13,-3.43,-5.19
SNRNP25,day 21,-2.95,-4.92
SNRNP27,day 5,-0.14,0.11
SNRNP27,day 13,0.64,0.36
SNRNP27,day 21,0.04,0.4
SNRNP35,day 5,0.25,0.35
SNRNP35,day 13,-0.51,-4.42
SNRNP35,day 21,0.19,-4.22
SNRNP40,day 5,0.26,0.06
SNRNP40,day 13,-1.51,-2.29
SNRNP40,day 21,-2.5,-4.71
SNRNP48,day 5,0.37,0.17
SNRNP48,day 13,1.79,1.34
SNRNP48,day 21,2.62,2.18
SNRNP70,day 5,-1.17,0.02
SNRNP70,day 13,-2.37,-2.02
SNRNP70,day 21,-0.7,-3.6
SNRPA,day 5,0.43,0.03
SNRPA,day 13,-0.95,-0.79
SNRPA,day 21,-2.04,-2.84
SNRPA1,day 5,-0.86,-0.38
SNRPA1,day 13,-2.75,-4.48
SNRPA1,day 21,-2.04,-3.47
SNRPB,day 5,-0.98,-0.34
SNRPB,day 13,-2.72,-4.36
SNRPB,day 21,-2.01,-4.69
SNRPB2,day 5,-0.07,0.27
SNRPB2,day 13,-0.46,0.05
SNRPB2,day 21,-1.5,-1.23
SNRPC,day 5,-0.73,-0.98
SNRPC,day 13,-1.01,-4.09
SNRPC,day 21,-0.3,-3.52
SNRPD1,day 5,-0.63,-0.63
SNRPD1,day 13,-2.97,-3.45
SNRPD1,day 21,-2.95,-5.4
SNRPD2,day 5,-0.91,-0.57
SNRPD2,day 13,-3.89,-6.65
SNRPD2,day 21,-2.93,-5.67
SNRPD3,day 5,-1.14,-0.88
SNRPD3,day 13,-3.61,-5.7
SNRPD3,day 21,-3.08,-5.48
SNRPE,day 5,0.15,-0.35
SNRPE,day 13,-0.41,-1.67
SNRPE,day 21,-1.39,-2.84
SNRPF,day 5,-0.7,-0.34
SNRPF,day 13,-3.17,-6.04
SNRPF,day 21,-2.45,-5.05
SNRPG,day 5,-0.05,-1.01
SNRPG,day 13,-3.47,-5.25
SNRPG,day 21,-2.76,-5.49
SNRPN,day 5,0.42,0.23
SNRPN,day 13,2.25,1.02
SNRPN,day 21,2.86,1.59
SNTB1,day 5,-0.5,-0.07
SNTB1,day 13,1.07,0.7
SNTB1,day 21,0.11,1.12
SNTB2,day 5,0.09,-0.2
SNTB2,day 13,1.28,0.42
SNTB2,day 21,1.03,1.01
SNU13,day 5,-0.68,-1.31
SNU13,day 13,-1.89,-4.48
SNU13,day 21,-1.45,-4.06
SNUPN,day 5,-0.4,0.21
SNUPN,day 13,-1.3,-1.89
SNUPN,day 21,-2.07,-4.3
SNW1,day 5,-1.87,-0.52
SNW1,day 13,-2.1,-3.74
SNW1,day 21,-2.25,-4.14
SON,day 5,-0.94,-1
SON,day 13,-3.12,-2.42
SON,day 21,-2.97,-2.57
SORBS1,day 5,0.06,0.12
SORBS1,day 13,0.83,0.72
SORBS1,day 21,1.19,1.24
SORBS2,day 5,0.12,0.16
SORBS2,day 13,0.99,1.06
SORBS2,day 21,1.28,1.69
SPAG9,day 5,-0.23,0.14
SPAG9,day 13,0.64,0.23
SPAG9,day 21,0.9,0.38
SPATS2,day 5,-0.22,-0.14
SPATS2,day 13,0.72,0.19
SPATS2,day 21,1.52,1.09
SPATS2L,day 5,0.61,0.19
SPATS2L,day 13,1.68,1.02
SPATS2L,day 21,1.15,1.78
SPEN,day 5,-0.23,-0.36
SPEN,day 13,-1.54,-1.91
SPEN,day 21,-1.61,-1.24
SPTAN1,day 5,-0.19,0.01
SPTAN1,day 13,0.75,0.83
SPTAN1,day 21,1.59,1.56
SPTBN1,day 5,-0.05,-0.1
SPTBN1,day 13,0.45,0.39
SPTBN1,day 21,1.17,1.24
SPTBN5,day 5,0.69,-0.01
SPTBN5,day 13,0.68,0.8
SPTBN5,day 21,1.17,1.41
SRA1,day 5,0.33,-0
SRA1,day 13,1.6,0.48
SRA1,day 21,1.24,0.74
SRBD1,day 5,0.47,0.25
SRBD1,day 13,0.1,-0.31
SRBD1,day 21,-1.95,0.06
SREK1,day 5,0.39,0.22
SREK1,day 13,0.35,0.11
SREK1,day 21,0.73,-0.1
SRFBP1,day 5,0.28,-0.54
SRFBP1,day 13,-1.07,-0.91
SRFBP1,day 21,-0.47,-0.93
SRP14,day 5,0.22,-0.12
SRP14,day 13,-1.18,-4.47
SRP14,day 21,-2.52,-4.8
SRP19,day 5,0.91,0.14
SRP19,day 13,-1.16,-2.27
SRP19,day 21,0.35,-1.6
SRP54,day 5,-0.3,-0.05
SRP54,day 13,-2.35,-3.38
SRP54,day 21,-2.45,-4.06
SRP68,day 5,-0.1,-0.16
SRP68,day 13,-0.85,-1.58
SRP68,day 21,0.16,-1.75
SRP72,day 5,0.28,-0.06
SRP72,day 13,-0.13,-0.91
SRP72,day 21,0.06,-1.72
SRP9,day 5,-0.16,0.2
SRP9,day 13,0,-2.34
SRP9,day 21,-0.07,-2.14
SRPK1,day 5,0.39,0.42
SRPK1,day 13,0.94,1.17
SRPK1,day 21,1.54,1.96
SRPK2,day 5,0.46,0.24
SRPK2,day 13,1.29,1.18
SRPK2,day 21,1.62,1.83
SRPRA,day 5,0.28,0.1
SRPRA,day 13,-2.55,-3.79
SRPRA,day 21,-2.19,-2.75
SRPRB,day 5,-0.16,0.22
SRPRB,day 13,-2.08,-1.52
SRPRB,day 21,-1.34,-1.07
SRRM1,day 5,-0.24,0.08
SRRM1,day 13,-0.43,-0.16
SRRM1,day 21,0.57,0.28
SRRM2,day 5,-0.17,-0.11
SRRM2,day 13,-0.21,-0.2
SRRM2,day 21,-0.15,0.14
SRRM3,day 5,-0.1,0.17
SRRM3,day 13,0.83,0.6
SRRM3,day 21,0.96,1.48
SRRM4,day 5,1.59,0.19
SRRM4,day 13,0.88,1.57
SRRM4,day 21,1.3,2.32
SRRT,day 5,-0.12,-0.19
SRRT,day 13,-1.91,-4.03
SRRT,day 21,-1.71,-3.42
SRSF1,day 5,0.12,-0.2
SRSF1,day 13,-2.43,-4.59
SRSF1,day 21,-2.21,-3.95
SRSF10,day 5,-0.52,-0.24
SRSF10,day 13,-0.97,-0.73
SRSF10,day 21,-0.91,-1.07
SRSF11,day 5,-1,0.17
SRSF11,day 13,-2.38,-0.88
SRSF11,day 21,-2.9,-1.96
SRSF12,day 5,0.56,0
SRSF12,day 13,1.39,0.33
SRSF12,day 21,1.05,0.25
SRSF2,day 5,-0.33,-0.52
SRSF2,day 13,-3.88,-6.7
SRSF2,day 21,-3.19,-5.72
SRSF3,day 5,-2.37,-1.39
SRSF3,day 13,-3.85,-5.89
SRSF3,day 21,-2.23,-4.91
SRSF4,day 5,-0.35,0.05
SRSF4,day 13,0.03,0.45
SRSF4,day 21,0.18,0.91
SRSF5,day 5,0.05,0.44
SRSF5,day 13,0.36,1.26
SRSF5,day 21,0.81,1.75
SRSF6,day 5,0.19,0.06
SRSF6,day 13,-0.13,0.32
SRSF6,day 21,-0.63,0.03
SRSF7,day 5,-0.61,-0.37
SRSF7,day 13,-3.31,-6.24
SRSF7,day 21,-2.08,-5.26
SRSF9,day 5,-0.27,0.14
SRSF9,day 13,0.29,1.18
SRSF9,day 21,1.02,1.86
SSB,day 5,0.32,0.38
SSB,day 13,0.79,0.84
SSB,day 21,0.35,0.96
SSBP1,day 5,0.36,0.57
SSBP1,day 13,-0.88,-0.94
SSBP1,day 21,-1.74,-3.51
SSR1,day 5,-0.03,0.2
SSR1,day 13,0.58,0.42
SSR1,day 21,1.82,0.28
SSRP1,day 5,-0.56,-0.2
SSRP1,day 13,-0.73,-3.01
SSRP1,day 21,-1.49,-3.37
SSU72,day 5,0.08,-0.25
SSU72,day 13,-1.44,-4.35
SSU72,day 21,-2.55,-4.57
ST13,day 5,-0.11,0.01
ST13,day 13,0.59,0.61
ST13,day 21,0.72,1.16
STAU1,day 5,-0.26,0.01
STAU1,day 13,0.87,0.5
STAU1,day 21,1.24,0.66
STAU2,day 5,-0.03,-0.21
STAU2,day 13,-0.37,0.18
STAU2,day 21,0,0.69
STIP1,day 5,0.38,-0.18
STIP1,day 13,0.68,0.27
STIP1,day 21,0.93,0.96
STK10,day 5,0.01,-0.34
STK10,day 13,1.11,0.29
STK10,day 21,0.24,0.32
STN1,day 5,-0.07,0.15
STN1,day 13,0.68,0.63
STN1,day 21,0.01,-1.4
STRAP,day 5,0.1,-0.19
STRAP,day 13,0.37,-1.04
STRAP,day 21,-0.9,-1.39
STRBP,day 5,0.54,0.09
STRBP,day 13,1.02,0.48
STRBP,day 21,0.35,0.77
STX18,day 5,-0.97,0.21
STX18,day 13,-2.89,-3.33
STX18,day 21,-2.63,-3.33
STX7,day 5,0,0.25
STX7,day 13,0.8,1.24
STX7,day 21,1.52,2.11
STXBP1,day 5,0.09,-0.22
STXBP1,day 13,0.17,0.44
STXBP1,day 21,0.86,0.95
SUB1,day 5,-0.07,0.04
SUB1,day 13,1.71,0.69
SUB1,day 21,1.67,1.23
SUCLG1,day 5,0.29,-0.59
SUCLG1,day 13,0.35,-0.81
SUCLG1,day 21,-0.54,-0.44
SUCO,day 5,0.63,0.12
SUCO,day 13,0.87,1.1
SUCO,day 21,1.34,1.78
SUGP1,day 5,1.13,-0.63
SUGP1,day 13,-0.04,-1.48
SUGP1,day 21,-1.33,-2.08
SUGP2,day 5,0.05,-0.29
SUGP2,day 13,-0.62,-0.52
SUGP2,day 21,0.6,0.29
SUMO1,day 5,0.49,0.22
SUMO1,day 13,0.61,0.46
SUMO1,day 21,0.29,0.86
SUMO2,day 5,0.22,-0.35
SUMO2,day 13,-0.29,-0.4
SUMO2,day 21,0.15,-0.15
SUPT16H,day 5,-0.32,-0.69
SUPT16H,day 13,-2.87,-5.17
SUPT16H,day 21,-2.16,-4.42
SUPT4H1,day 5,-0.94,-0.93
SUPT4H1,day 13,-2.38,-2.94
SUPT4H1,day 21,-2.89,-5.59
SUPT5H,day 5,-0.58,-2.43
SUPT5H,day 13,-2.84,-5.57
SUPT5H,day 21,-3.45,-5.37
SUPT6H,day 5,-0.33,-1.9
SUPT6H,day 13,-3.49,-4.6
SUPT6H,day 21,-3.67,-4.9
SUPV3L1,day 5,0.21,0.08
SUPV3L1,day 13,-0.86,-1.91
SUPV3L1,day 21,-3.45,-4.02
SURF6,day 5,-0.91,-0.12
SURF6,day 13,-0.56,-2.18
SURF6,day 21,-1.03,-3.3
SUZ12,day 5,0.67,-0.18
SUZ12,day 13,0.16,-0.5
SUZ12,day 21,1.61,-1.01
SWT1,day 5,-0.57,-0.12
SWT1,day 13,0.77,0.69
SWT1,day 21,-0.32,0.48
SYF2,day 5,0.11,0.33
SYF2,day 13,0.49,0.7
SYF2,day 21,1.04,1.44
SYMPK,day 5,0.01,-0.67
SYMPK,day 13,-0.01,-3.01
SYMPK,day 21,0.55,-2.85
SYNCRIP,day 5,-1.15,-0.38
SYNCRIP,day 13,-1.34,0.21
SYNCRIP,day 21,-1.72,-0.36
SYNE1,day 5,0.72,0.46
SYNE1,day 13,1,1.44
SYNE1,day 21,1.46,2.08
SYNE2,day 5,-0.27,-0.27
SYNE2,day 13,0.18,0.03
SYNE2,day 21,0.67,0.66
TACO1,day 5,0.24,0.06
TACO1,day 13,0.08,0.4
TACO1,day 21,-0.05,0.16
TAF15,day 5,2.07,0.44
TAF15,day 13,1.45,0.88
TAF15,day 21,2.21,0.62
TAF2,day 5,0.47,-0.21
TAF2,day 13,-1.05,-2.52
TAF2,day 21,-1.5,-4.57
TAF9,day 5,0.06,0.13
TAF9,day 13,0.29,0.38
TAF9,day 21,0.52,1.48
TAGLN,day 5,-0.08,0.29
TAGLN,day 13,1.92,1.62
TAGLN,day 21,2.18,2.47
TAGLN2,day 5,-0.18,-0.08
TAGLN2,day 13,0.17,0.5
TAGLN2,day 21,0.82,1.08
TARBP1,day 5,-0.37,0.09
TARBP1,day 13,0.18,0.62
TARBP1,day 21,0.83,1.25
TARBP2,day 5,-0.46,0.27
TARBP2,day 13,0.31,0.82
TARBP2,day 21,0.93,1.44
TARDBP,day 5,-0.05,0.13
TARDBP,day 13,-0.36,-1.12
TARDBP,day 21,-1.38,-3.22
TARS1,day 5,0.11,0.23
TARS1,day 13,-2.37,-4.63
TARS1,day 21,-2.02,-4.94
TARS2,day 5,-0.16,0.03
TARS2,day 13,-1.76,-4.46
TARS2,day 21,-2.05,-4.22
TARS3,day 5,0.02,-0.28
TARS3,day 13,-1.06,0.2
TARS3,day 21,-0.39,0.03
TASOR,day 5,-0.08,-0.19
TASOR,day 13,0.94,0.38
TASOR,day 21,1.04,0.7
TBCA,day 5,0.36,-0.1
TBCA,day 13,-2.07,-1.18
TBCA,day 21,-1.91,-2.88
TBL2,day 5,0.12,0.14
TBL2,day 13,0.86,0.96
TBL2,day 21,1.89,1.74
TBL3,day 5,-0.7,-0.1
TBL3,day 13,-2.48,-2.81
TBL3,day 21,-2.36,-3.78
TBRG4,day 5,-0.67,-0.17
TBRG4,day 13,-0.22,-0.56
TBRG4,day 21,0.13,-0.51
TCEA1,day 5,0.2,0.16
TCEA1,day 13,0.65,0.75
TCEA1,day 21,0.99,0.92
TCERG1,day 5,0.14,0.32
TCERG1,day 13,-0.23,-0.29
TCERG1,day 21,-1.49,-0.21
TCF20,day 5,0.15,0.08
TCF20,day 13,0.47,0.54
TCF20,day 21,0.59,0.87
TCOF1,day 5,-0.46,0.23
TCOF1,day 13,0.17,0.49
TCOF1,day 21,0.43,1.1
TCP1,day 5,-1.02,-1.02
TCP1,day 13,-2.21,-4.88
TCP1,day 21,-1.6,-3.96
TDRD1,day 5,-0.48,-0.02
TDRD1,day 13,0.49,0.84
TDRD1,day 21,0.97,1.26
TDRD10,day 5,0.02,0.12
TDRD10,day 13,0.64,0.73
TDRD10,day 21,0.76,1.35
TDRD12,day 5,0.19,0.31
TDRD12,day 13,1.38,1.33
TDRD12,day 21,1.63,2.36
TDRD3,day 5,-0.44,0.09
TDRD3,day 13,0.18,0.72
TDRD3,day 21,0.49,0.81
TDRD5,day 5,-0.11,0.27
TDRD5,day 13,0.62,1.13
TDRD5,day 21,0.62,1.88
TDRD6,day 5,-0.12,0.54
TDRD6,day 13,0.33,1.04
TDRD6,day 21,0.76,1.51
TDRD7,day 5,-0.1,0.22
TDRD7,day 13,0.1,0.79
TDRD7,day 21,0.28,1.07
TDRD9,day 5,-0.16,0.03
TDRD9,day 13,0.52,0.67
TDRD9,day 21,0.22,0.85
TDRKH,day 5,-0.44,0.08
TDRKH,day 13,0.32,0.46
TDRKH,day 21,0.61,0.79
TECR,day 5,0.02,-0.14
TECR,day 13,0.32,0.13
TECR,day 21,-0.25,0.04
TEFM,day 5,-0.15,-0.03
TEFM,day 13,-1.25,-2.29
TEFM,day 21,-1.53,-2.58
TENT2,day 5,-0.23,0.35
TENT2,day 13,0.2,0.94
TENT2,day 21,1.61,1.32
TENT4A,day 5,0.38,0.53
TENT4A,day 13,1.37,1.77
TENT4A,day 21,1.86,2.47
TENT4B,day 5,0.23,0.19
TENT4B,day 13,-0.25,0.48
TENT4B,day 21,-0.13,0.36
TENT5A,day 5,0.36,0.25
TENT5A,day 13,0.71,1.3
TENT5A,day 21,1.97,2.27
TEP1,day 5,-0.12,-0.4
TEP1,day 13,0.46,0.2
TEP1,day 21,0.54,0.32
TERT,day 5,0.31,0.28
TERT,day 13,1,1.56
TERT,day 21,2.05,2.26
TES,day 5,0.47,-0
TES,day 13,1.04,0.74
TES,day 21,0.78,1.09
TEX13A,day 5,-0.01,-0.12
TEX13A,day 13,-0.01,0.35
TEX13A,day 21,1.05,0.62
TFAM,day 5,0.46,-0.55
TFAM,day 13,-0.45,-2.38
TFAM,day 21,0.1,-3.81
TFB1M,day 5,-0.15,0.07
TFB1M,day 13,-0.35,-1.02
TFB1M,day 21,-2.61,-4.81
TFB2M,day 5,-0.02,0.24
TFB2M,day 13,-1.08,-1.26
TFB2M,day 21,-1.55,-2.93
TFIP11,day 5,-0.42,0.14
TFIP11,day 13,-1.64,-1.84
TFIP11,day 21,-0.65,-1.49
TFRC,day 5,0.24,0.36
TFRC,day 13,0.8,1.09
TFRC,day 21,0.01,1.05
TGS1,day 5,0.58,-0.21
TGS1,day 13,-1.33,-1.09
TGS1,day 21,-0.62,-1.2
THG1L,day 5,-0.28,-0.03
THG1L,day 13,-1.86,-2.81
THG1L,day 21,-1.7,-2.41
THOC1,day 5,0.3,0.18
THOC1,day 13,-1.77,-2.97
THOC1,day 21,-0.84,-3.48
THOC2,day 5,-0.19,-0.25
THOC2,day 13,-2.03,-3.81
THOC2,day 21,-1.05,-4.35
THOC3,day 5,0.25,0.44
THOC3,day 13,-1.8,-2.33
THOC3,day 21,-2.07,-4.46
THOC5,day 5,0.94,0.25
THOC5,day 13,-1.19,-2.97
THOC5,day 21,-0.48,-2.9
THOC6,day 5,0.14,0.2
THOC6,day 13,0.31,0.47
THOC6,day 21,0.12,0.11
THOC7,day 5,-1.04,0.1
THOC7,day 13,-0.79,-0.87
THOC7,day 21,-0.47,-0.25
THRAP3,day 5,-0.45,-0.17
THRAP3,day 13,-1.88,0.01
THRAP3,day 21,-0.31,-0.24
THUMPD1,day 5,0.09,-0.05
THUMPD1,day 13,0.26,0.15
THUMPD1,day 21,0.33,0.5
THUMPD2,day 5,0.31,0.21
THUMPD2,day 13,1.02,1.24
THUMPD2,day 21,1.65,1.55
THUMPD3,day 5,-0.19,-0.4
THUMPD3,day 13,-1.19,0.15
THUMPD3,day 21,0.74,0.23
TIA1,day 5,-0.27,-0.11
TIA1,day 13,0.13,0.69
TIA1,day 21,1.03,1.35
TIAL1,day 5,0.64,-0.03
TIAL1,day 13,1.2,1.05
TIAL1,day 21,1.55,1.63
TIPARP,day 5,1.32,-0.76
TIPARP,day 13,-0.42,-0.4
TIPARP,day 21,0.29,-0.42
TKT,day 5,0.09,-0.21
TKT,day 13,0.13,-0.43
TKT,day 21,-0.01,-0.2
TLE5,day 5,0.07,0.25
TLE5,day 13,1.02,0.97
TLE5,day 21,1.39,1.55
TLN1,day 5,0.12,0.04
TLN1,day 13,1.26,0.82
TLN1,day 21,1.5,1.41
TLR3,day 5,0.32,0.34
TLR3,day 13,1.21,1.43
TLR3,day 21,1.92,2.09
TLR7,day 5,-0.01,0.15
TLR7,day 13,0.93,1.19
TLR7,day 21,1.92,2.01
TLR8,day 5,0.69,0.12
TLR8,day 13,1.21,0.78
TLR8,day 21,1.79,1.38
TMA16,day 5,-0.58,-0.69
TMA16,day 13,-1.75,-3.2
TMA16,day 21,-1.03,-2.31
TMA7,day 5,0.51,-0.13
TMA7,day 13,0.73,0.02
TMA7,day 21,0.6,0.2
TMED10,day 5,0.4,0.09
TMED10,day 13,-0.14,-0.21
TMED10,day 21,0.49,-0.1
TMEM214,day 5,-0.16,0.2
TMEM214,day 13,0.84,0.84
TMEM214,day 21,0.7,1.43
TMEM263,day 5,-0.09,0.08
TMEM263,day 13,0.45,0.82
TMEM263,day 21,0.83,1.15
TMPO,day 5,-0.03,0.09
TMPO,day 13,1,0.99
TMPO,day 21,1.28,1.27
TMSB4X,day 5,-0.56,-0.18
TMSB4X,day 13,-0.29,-0.98
TMSB4X,day 21,0.25,-0.73
TNKS1BP1,day 5,-0.12,0.26
TNKS1BP1,day 13,0.27,0.96
TNKS1BP1,day 21,1.49,1.65
TNPO1,day 5,1,-0.11
TNPO1,day 13,0.7,-0.86
TNPO1,day 21,0.32,-1.71
TNPO2,day 5,-0.06,0.12
TNPO2,day 13,0.09,0.75
TNPO2,day 21,0.87,1.33
TNPO3,day 5,-0.62,-0.28
TNPO3,day 13,-1.92,-3.81
TNPO3,day 21,-1.21,-3.92
TNRC6A,day 5,0.27,0.06
TNRC6A,day 13,1.41,1.25
TNRC6A,day 21,2.04,1.95
TNRC6B,day 5,-0.48,0.45
TNRC6B,day 13,1.3,1.64
TNRC6B,day 21,1.71,2.54
TNRC6C,day 5,1.02,0.41
TNRC6C,day 13,1.17,1.41
TNRC6C,day 21,2.37,2.38
TNS1,day 5,0.47,0.28
TNS1,day 13,1.03,1.38
TNS1,day 21,1.4,1.92
TOE1,day 5,0.4,0.55
TOE1,day 13,-0.97,-2.28
TOE1,day 21,-2.43,-4.96
TOP1,day 5,1.08,0.25
TOP1,day 13,-1.64,-1.91
TOP1,day 21,-1.29,-2.01
TOP2A,day 5,0.29,0.1
TOP2A,day 13,-1.15,-1.64
TOP2A,day 21,-0.42,-2.67
TOP3B,day 5,0.04,0.09
TOP3B,day 13,0.12,0.58
TOP3B,day 21,0.94,1.2
TP53RK,day 5,1.69,0.44
TP53RK,day 13,-0.84,-3.09
TP53RK,day 21,-0.82,-4.59
TPD52L2,day 5,0.03,0.11
TPD52L2,day 13,0.92,0.82
TPD52L2,day 21,1.18,1.52
TPR,day 5,-0.26,0.17
TPR,day 13,-1.88,-1.72
TPR,day 21,-0.73,-1.84
TPRKB,day 5,-0.14,-0.26
TPRKB,day 13,-2.08,-2.64
TPRKB,day 21,-2.37,-3.36
TPT1,day 5,0.07,0.19
TPT1,day 13,-0.35,-0.41
TPT1,day 21,0.68,-0.65
TPX2,day 5,-0.83,-1.01
TPX2,day 13,-0.47,-1.98
TPX2,day 21,-0.31,-1.67
TRA2A,day 5,0.61,0.31
TRA2A,day 13,0.96,0.98
TRA2A,day 21,1.62,1.33
TRA2B,day 5,-0.63,-0.42
TRA2B,day 13,-0.08,-0.02
TRA2B,day 21,0.08,0.19
TRAP1,day 5,0.25,-0.09
TRAP1,day 13,0.37,0.37
TRAP1,day 21,0.31,0.52
TRDMT1,day 5,0.58,0.48
TRDMT1,day 13,1.46,1.53
TRDMT1,day 21,1.75,2.26
TRIM21,day 5,0.9,0.36
TRIM21,day 13,1.72,1.7
TRIM21,day 21,2.7,2.64
TRIM25,day 5,-0.64,-0.1
TRIM25,day 13,0.98,0.78
TRIM25,day 21,1.27,1.42
TRIM28,day 5,-0.11,0.23
TRIM28,day 13,0.88,0.85
TRIM28,day 21,1.24,1.34
TRIM56,day 5,0.78,0.43
TRIM56,day 13,1.51,1.8
TRIM56,day 21,3.13,3.22
TRIM71,day 5,-0.54,0.43
TRIM71,day 13,0.43,1.78
TRIM71,day 21,1.72,2.28
TRIP6,day 5,0.77,0.18
TRIP6,day 13,1.37,1.2
TRIP6,day 21,2.53,2.14
TRIT1,day 5,0.47,0.17
TRIT1,day 13,-0.27,-0.71
TRIT1,day 21,-3.62,-3.92
TRMT1,day 5,-0.36,-0.12
TRMT1,day 13,0.61,0.41
TRMT1,day 21,0.97,1.01
TRMT10A,day 5,0.36,0.06
TRMT10A,day 13,0.75,0.93
TRMT10A,day 21,1.34,1.64
TRMT10B,day 5,0.66,0.06
TRMT10B,day 13,2.48,0.09
TRMT10B,day 21,3.36,0.22
TRMT10C,day 5,0.88,-0.41
TRMT10C,day 13,-0.18,-1
TRMT10C,day 21,-0.85,-1.62
TRMT11,day 5,0.4,0.18
TRMT11,day 13,0.59,0.89
TRMT11,day 21,0.22,1.04
TRMT112,day 5,-0.56,-0.16
TRMT112,day 13,-0.79,-2.94
TRMT112,day 21,-1.38,-2.68
TRMT12,day 5,0.1,0.3
TRMT12,day 13,1.63,1.38
TRMT12,day 21,1.79,2
TRMT13,day 5,0.29,0.02
TRMT13,day 13,0.82,0.87
TRMT13,day 21,1.32,1.74
TRMT1L,day 5,-0.03,-0.03
TRMT1L,day 13,0.62,1.03
TRMT1L,day 21,1.34,1.6
TRMT2A,day 5,0.61,-0.02
TRMT2A,day 13,0.53,0.5
TRMT2A,day 21,0.77,1.13
TRMT2B,day 5,-0.02,0.14
TRMT2B,day 13,1.35,1.62
TRMT2B,day 21,2.18,2.39
TRMT44,day 5,0.43,0.08
TRMT44,day 13,1.06,1.2
TRMT44,day 21,1.79,1.89
TRMT5,day 5,0.13,0.25
